Belgrade, Visitar la Fortaleza de Belgrado, Explorar el Museo Nacional de Serbia, Recorrer el barrio bohemio de Skadarlija, Relajarse en el parque Kalemegdan, Disfrutar de un paseo por el río Danubio
Bali, Visitar el templo de Tanah Lot, Disfrutar de las playas de Kuta, Explorar el bosque de los monos en Ubud, Subir al monte Batur para ver el amanecer, Relajarse en las terrazas de arroz de Tegalalang
Kandy, Visitar el Templo del Diente de Buda, Recorrer el Jardín Botánico Real de Peradeniya, Pasear por el lago Kandy, Ver la danza tradicional de Kandy, Explorar el mercado local
Beirut, Visitar el Museo Nacional de Beirut, Recorrer el puerto de Beirut, Subir a la colina de Harissa, Disfrutar de la vida nocturna en Gemayzeh, Explorar las ruinas de Baalbek
Pekin, Visitar la Ciudad Prohibida, Subir la Gran Muralla China, Recorrer el Templo del Cielo, Explorar los Hutongs de Pekín, Disfrutar de la comida tradicional en un mercado de comida
Cracovia, Visitar la Plaza del Mercado de Cracovia, Explorar la mina de sal de Wieliczka, Recorrer el barrio judío de Kazimierz, Visitar el Museo de Auschwitz-Birkenau, Pasear por el castillo de Wawel
Atenas, Visitar la Acrópolis, Recorrer el barrio Plaka, Explorar el Museo Arqueológico Nacional, Subir al monte Licabeto, Pasear por el antiguo Ágora
Varna, Visitar el Museo Arqueológico de Varna, Relajarse en la playa de Varna, Explorar el jardín marítimo, Visitar el templo de los restos de la ciudad de Odessos, Disfrutar del centro histórico
Marruecos, Recorrer los zocos de Marrakech, Visitar la Mezquita Koutoubia, Explorar el desierto del Sahara, Visitar las ruinas romanas de Volubilis, Pasear por los jardines Majorelle
Baku, Visitar la Torre de la Virgen, Explorar el barrio histórico de Icherisheher, Pasear por la Plaza de la Fuente, Recorrer el Museo de Arte Moderno de Baku, Subir a la colina de Highland Park
Belgrado, Visitar la Fortaleza de Belgrado, Recorrer el Museo Nacional de Serbia, Disfrutar de la vida nocturna en la zona de Splavovi, Pasear por el Parque Kalemegdan, Explorar la calle Knez Mihailova
Sousse, Visitar la Medina de Sousse, Explorar el Museo de Sousse, Relajarse en la playa de Boujaffar, Visitar la Gran Mezquita de Sousse, Pasear por el puerto de Sousse
Nueva Delhi, Visitar el Taj Mahal, Explorar la Puerta de la India, Recorrer el Fuerte Rojo, Pasear por el mercado de Chandni Chowk, Disfrutar del Qutub Minar
Chisinau, Visitar el Museo Nacional de Historia de Moldavia, Recorrer el Parque Stefan Cel Mare, Disfrutar del mercado central, Visitar el Monasterio de Curchi, Explorar la Catedral de la Natividad
Hoi An, Recorrer el casco antiguo de Hoi An, Visitar el Puente Japonés, Disfrutar de las playas de An Bang, Explorar el Museo de la Cultura de Sa Huynh, Pasear por el mercado nocturno
Seattle, Visitar el Space Needle, Recorrer el Pike Place Market, Explorar el Museo de Cultura Pop, Pasear por el Parque Olímpico de Escultura, Ver el Museo Chihuly Garden and Glass
St. Petersburg, Visitar el Museo Hermitage, Explorar la Fortaleza de Pedro y Pablo, Recorrer la Avenida Nevsky, Subir a la cúpula de la Catedral de San Isaac, Pasear por los jardines de Catalina
Lausanne, Visitar el Museo Olímpico, Pasear por la Ciudad Vieja, Recorrer la Catedral de Notre-Dame, Disfrutar del Lago de Ginebra, Explorar el Museo de Arte de Lausana
Valletta, Visitar la Co-Catedral de San Juan, Recorrer los Jardines Barracca, Explorar el Museo Nacional de Arqueología, Pasear por el Palacio del Gran Maestre, Disfrutar de las vistas desde el Fuerte de San Elmo
Hokkaido, Visitar el Parque Nacional de Shiretoko, Relajarse en los onsen de Noboribetsu, Disfrutar de las estaciones de esquí en Niseko, Explorar el Lago Toya, Ver los campos de flores en Furano
Rovaniemi, Visitar la Casa de Santa Claus, Explorar el Parque Arktikum, Pasear por la ciudad en trineo de renos, Disfrutar del sol de medianoche, Recorrer el Museo de la Guerra Lapón
Bruges, Visitar la Plaza Mayor de Brujas, Subir al campanario Belfort, Pasear en barco por los canales de Brujas, Explorar el Museo Gruuthuse, Disfrutar del mercado de chocolate
Brno, Visitar la Fortaleza de Špilberk, Explorar la Catedral de San Pedro y San Pablo, Recorrer el Museo de la Vida en la Edad Media, Disfrutar del mercado en la Plaza de la Libertad, Pasear por el Jardín de Luz
